month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
2010-02,2.9,4,6.3,47,77.3,8.8,28.9,33.5,25.5
2010-03,57.6,11,238.0,46,79.9,6.1,28.6,33.1,25.1
2010-04,40.0,18,158.5,55,84.1,6.2,28.6,32.8,25.0
2010-05,90.5,17,157.5,50,82.2,6.5,29.2,33.2,25.9
2010-06,43.0,19,240.5,55,83.9,5.1,28.3,31.4,25.2
2010-07,121.1,18,298.5,48,84.8,4.6,27.7,30.9,24.6
2010-08,60.2,16,158.4,50,84.2,5.4,27.9,31.2,24.6
2010-09,28.0,13,121.5,50,82.5,5.7,28.0,31.8,24.9
2010-10,58.1,17,166.2,43,82.3,4.2,28.3,31.7,25.1
2010-11,41.6,21,278.8,52,85.9,5.0,27.4,31.6,24.2
2010-12,85.8,14,181.4,54,85.3,3.6,26.8,30.8,23.9
2011-01,216.2,17,513.2,57,85.8,4.5,26.3,29.7,23.5
2011-02,17.4,8,23.0,41,81.1,7.5,27.3,31.7,24.1
2011-03,54.0,22,256.6,47,85.5,4.6,27.1,31.3,23.9
2011-04,61.8,12,217.8,55,83.9,7.2,27.9,31.9,24.6
2011-05,34.2,15,127.0,46,85.3,5.9,28.5,32.4,25.2
2011-06,82.0,15,213.0,56,83.7,5.0,28.4,31.3,25.2
2011-07,30.0,7,76.6,59,81.3,7.8,28.7,31.9,25.5
2011-08,30.2,13,81.4,52,82.6,6.1,27.9,31.0,25.6
2011-09,40.4,14,136.4,51,82.7,5.1,27.8,30.9,25.1
2011-10,54.0,20,216.8,55,87.4,5.3,27.3,31.0,24.7
2011-11,78.6,24,377.8,55,87.8,4.6,27.1,31.1,24.6
2011-12,87.4,21,284.6,57,88.4,3.3,26.6,29.9,24.5
2012-01,26.2,16,106.1,59,87.3,6.0,26.7,30.6,24.3
2012-02,38.4,11,83.6,55,85.6,7.0,27.2,31.1,24.8
2012-03,92.3,21,313.4,58,87.3,4.2,27.0,31.1,24.4
